Date,BOND,BWP,ETB,EUR,GHS,KES,LSL,MGA,MUR,MWK,MZN,NAD,NAIRA,NGN,RTG,RTGS,SZL,TZS,UGX,USD,XAF,ZAR,ZMW,ZWD,ZWL
2016-01-14,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
Date,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-16,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-18,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-19,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-22,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-23,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-24,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-25,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-26,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-27,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-01-28,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-06-02,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-06-04,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.782699584960941,8.94,16.42,7.44
2016-06-06,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.782699584960941,8.94,16.42,7.44
2016-06-07,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-06-08,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
2016-06-09,101.196,11.5,27.36,0.8967000246047974,4.42,101.91585,16.3,3604.13,35.44300079345703,729.885,61.455,16.3,360.44,305.84,7.44,85.67,14.78269958496094,2240.45,3440.9,1.0,591.84,14.78269958496094,8.94,16.42,7.44
